original_title,date_published,genre,duration,country,language_1,director,writer,actors,description,avg_vote,votes,budget,worlwide_gross_income,reviews_from_users,profit
Summer Catch,2001-08-24,"Comedy, Drama, Romance",104,USA,English,Michael Tollin,"Kevin Falls, Kevin Falls","Freddie Prinze Jr., Jessica Biel, Fred Ward, Matthew Lillard, Brian Dennehy, Jason Gedrick, Brittany Murphy, Bruce Davison, Marc Blucas, Wilmer Valderrama, Corey Pearson, Christian Kane, Cedric Pendleton, Gabriel Mann, Jed Rhein",A rich girl whose family summers on Cape Cod has a romance with a local poor boy who hopes to become a major league baseball player.,5.1,15006,34000000,19772447,114,-14227553
Gekijô-ban poketto monsutâ: Kesshô-tô no teiô,2001-05-25,"Animation, Action, Adventure",93,Japan,Japanese,"Kunihiko Yuyama, Michael Haigney","Norman J. Grossfeld, Michael Haigney","Rica Matsumoto, Veronica Taylor, Rachael Lillis, Ikue Ôtani, Eric Stuart, Madeleine Blaustein, Amy Birnbaum, Dan Green, Stuart Zagnit, Lisa Ortiz, Kathy Pilon, Peter R. Bird, Kayzie Rogers, Ted Lewis, Rodger Parsons","In the town of Greenfield, a young, lonely girl's dreams and wishes are brought into reality by a collective of reality-warping Pokémon.",5.9,12761,16000000,68411275,67,52411275
The Salton Sea,2002-06-21,"Crime, Drama, Mystery",103,USA,English,D.J. Caruso,Tony Gayton,"Val Kilmer, Vincent D'Onofrio, Adam Goldberg, Luis Guzmán, Doug Hutchison, Anthony LaPaglia, Glenn Plummer, Peter Sarsgaard, Deborah Kara Unger, Chandra West, BD Wong, R. Lee Ermey, Shalom Harlow, Shirley Knight, Meat Loaf","After a tragic incident, a man drifts into a world populated by thugs and speed junkies.",7.1,29317,18000000,1073198,183,-16926802
Josie and the Pussycats,2001-07-27,"Comedy, Music",98,"Canada, USA",English,"Harry Elfont, Deborah Kaplan","Deborah Kaplan, Harry Elfont","Rachael Leigh Cook, Rosario Dawson, Tara Reid, Gabriel Mann, Paulo Costanzo, Missi Pyle, Alan Cumming, Parker Posey, Tom Butler, Carson Daly, Aries Spears, Alexander Martin, Faedragh Carpenter, Justin Chatwin, Marites Pineda",A girl group find themselves in the middle of a conspiracy to deliver subliminal messages through popular music.,5.4,21409,39000000,14866015,247,-24133985
The Mexican,2001-04-20,"Adventure, Comedy, Crime",123,"USA, Mexico",English,Gore Verbinski,J.H. Wyman,"Brad Pitt, Julia Roberts, James Gandolfini, J.K. Simmons, Bob Balaban, Sherman Augustus, Michael Cerveris, Gene Hackman, Richard Coca, David Krumholtz, Castulo Guerra, Mayra Serbulo, Salvador Sánchez, Alan Ciangherotti, Melisa Romero","A man tries to transport an ancient gun called The Mexican, believed to carry a curse, back across the border, while his girlfriend pressures him to give up his criminal ways.",6.1,101689,57000000,147845033,355,90845033
Prozac Nation,2003-06-13,"Biography, Drama, Romance",95,"Germany, Canada, USA",English,Erik Skjoldbjærg,"Elizabeth Wurtzel, Galt Niederhoffer","Christina Ricci, Jason Biggs, Anne Heche, Michelle Williams, Jonathan Rhys Meyers, Jessica Lange, Jesse Moss, Nicholas Campbell, Zoe Miller, Sheila Paterson, Rob Freeman, Nicole Parker, Frida Betrani, Klodyne Rodney, Ian Tracey",A young woman struggles with depression during her first year at Harvard.,6.3,16914,9000000,129364,117,-8870636
The Tailor of Panama,2001-06-08,"Comedy, Drama, Thriller",109,"USA, Ireland",English,John Boorman,"John le Carré, Andrew Davies","Pierce Brosnan, Geoffrey Rush, Jamie Lee Curtis, Leonor Varela, Brendan Gleeson, Harold Pinter, Catherine McCormack, Daniel Radcliffe, Lola Boorman, David Hayman, Mark Margolis, Martin Ferrero, John Fortune, Martin Savage, Edgardo Molino",A tailor living in Panama reluctantly becomes a spy for a British Agent.,6.1,27528,21000000,28008462,215,7008462
Le pacte des loups,2001-11-23,"Action, Adventure, Drama",142,France,French,Christophe Gans,"Stéphane Cabel, Stéphane Cabel","Samuel Le Bihan, Mark Dacascos, Jérémie Renier, Vincent Cassel, Émilie Dequenne, Jacques Perrin, Christian Marc, Karin Kriström, Philippe Nahon, Virginie Darmon, Vincent Cespedes, Hans Meyer, Jean-Paul Farré, Pierre Lavit, Eric Prat","In 18th-century France, the Chevalier de Fronsac and his Native American friend Mani are sent to the Gevaudan province at the king's behest to investigate the killings of hundreds by a mysterious beast.",7,61834,29000000,70752904,513,41752904
The Pledge,2001-10-19,"Crime, Drama, Mystery",124,USA,English,Sean Penn,"Friedrich Dürrenmatt, Jerzy Kromolowski","Patricia Clarkson, Beau Daniels, Benicio Del Toro, Dale Dickey, Wendy Donaldson, Adrien Dorval, Aaron Eckhart, Shawn Henter, Kathy Jensen, Taryn Knowles, Nels Lennarson, Costas Mandylor, J.J. McColl, Gordon May, Gardiner Millar",A retiring police detective pledges to catch the killer of a young child.,6.8,52538,35000000,29419291,574,-5580709
Captain Corelli's Mandolin,2001-11-09,"Drama, Music, Romance",131,"UK, France, USA",English,John Madden,"Shawn Slovo, Louis de Bernières","Penélope Cruz, John Hurt, Christian Bale, Irene Papas, Gerasimos Skiadaressis, Aspasia Kralli, Mihalis Giannatos, Dimitris Kaberidis, Pietro Sarubbi, Viki Maragaki, Joanna-Daria Adraktas, Ira Tavlaridis, Katerina Didaskalou, Aimilios Heilakis, Nikos Karathanos","When a fisherman leaves to fight with the Greek army during World War II, his fiancée falls in love with the local Italian commander.",5.9,32547,57000000,62112895,218,5112895
Equilibrium,2003-07-11,"Action, Drama, Sci-Fi",107,USA,English,Kurt Wimmer,Kurt Wimmer,"Christian Bale, Dominic Purcell, Sean Bean, Christian Kahrmann, John Keogh, Sean Pertwee, William Fichtner, Angus Macfadyen, David Barrash, Dirk Martens, Taye Diggs, Matthew Harbour, Maria Pia Calzone, Emily Siewert, Emily Watson","In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state.",7.4,308150,20000000,5368217,1228,-14631783
Queen of the Damned,2002-05-03,"Drama, Fantasy, Horror",101,"USA, Australia",English,Michael Rymer,"Anne Rice, Scott Abbott","Aaliyah, Stuart Townsend, Marguerite Moreau, Vincent Perez, Paul McGann, Lena Olin, Christian Manon, Claudia Black, Bruce Spence, Matthew Newton, Tiriel Mora, Megan Cooper, Johnathan Devoy, Robert Farnham, Conrad Standish","In this loose sequel to Interview with the Vampire: The Vampire Chronicles (1994), the vampire Lestat becomes a rock star whose music wakes up the equally beautiful and monstrous queen of all vampires",5.3,51708,35000000,45479110,715,10479110
Replicant,2001-06-28,"Action, Sci-Fi, Thriller",100,USA,English,Ringo Lam,"Lawrence Riggins, Les Weldon","Jean-Claude Van Damme, Michael Rooker, Catherine Dent, Brandon James Olson, Pam Hyatt, Ian Robison, Allan Gray, James Hutson, Jayme Knox, Paul McGillion, Chris Kelly, Peter Flemming, Margaret Ryan, Marnie Alton, Lillian Carlson","Scientists create a genetic clone of a serial killer in order to help catch the killer, teaming up with two cops.",5.4,13508,17000000,894844,109,-16105156
