original_title,date_published,genre,duration,country,language_1,director,writer,actors,description,avg_vote,votes,budget,worlwide_gross_income,reviews_from_users,profit
The Lazarus Effect,2015-05-21,"Horror, Mystery, Sci-Fi",83,USA,English,David Gelb,"Luke Dawson, Jeremy Slater","Mark Duplass, Olivia Wilde, Sarah Bolger, Evan Peters, Donald Glover, Ray Wise, Scott Sheldon, Emily Kelavos, James Earl, Amy Aquino, Sean T. Krishnan, Ator Tamras, Cato",A group of medical researchers discover a way to bring dead patients back to life.,5.2,40360,3300000,38356892,176,35056892
God's Pocket,2014-08-08,"Crime, Drama",88,USA,English,John Slattery,"Peter Dexter, Alex Metcalf","Christina Hendricks, Philip Seymour Hoffman, Eddie Marsan, Caleb Landry Jones, Jack O'Connell, Bill Buell, Rebecca Kling, David Apicella, Bridget Barkan, Michael Drayer, Prudence Wright Holmes, Eddie McGee, Molly Price, John Turturro, Domenick Lombardozzi","A blue collar worker tries to cover things up when his stepson is killed in a suspicious accident, but a local reporter senses that something's amiss.",6.1,10616,1000000,413567,73,-586433
American Heist,2015-01-16,"Action, Crime, Drama",94,"Canada, Luxembourg",English,Sarik Andreasyan,Raul Inglis,"Hayden Christensen, Adrien Brody, Jordana Brewster, Akon, Tory Kittles, Luis Da Silva Jr., Lance E. Nichols, John McConnell, Joe Chrest, Aaron V. Williamson, Rachel Bilson, Laura Cayouette, Carol Sutton, Elena Sanchez, Belinda Delgado","James owes his life to his older brother, Frankie after taking the rap for a crime they committed together. While Frankie served time, James worked to turn his life around, got a steady job and began courting his former girlfriend Emily. Now, Frankie is released and back on the streets with no money and no place to go.",5,16151,10000000,2931475,69,-7068525
47 Meters Down,2017-05-25,"Adventure, Drama, Horror",89,UK,English,Johannes Roberts,"Johannes Roberts, Ernest Riera","Mandy Moore, Claire Holt, Chris Johnson, Yani Gellman, Santiago Segura, Matthew Modine","Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive.",5.6,47617,5300000,62198461,437,56898461
Far from the Madding Crowd,2015-09-17,"Drama, Romance",119,"UK, USA",English,Thomas Vinterberg,"Thomas Hardy, David Nicholls","Carey Mulligan, Matthias Schoenaerts, Tilly Vosburgh, Mark Wingett, Dorian Lough, Sam Phillips, Tom Sturridge, Juno Temple, Bradley Hall, Hilton McRae, Jessica Barden, Harry Peacock, Victor McGuire, Michael Sheen, Jody Halse","In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a sheep farmer; Frank Troy, a reckless Sergeant; and William Boldwood, a prosperous and mature bachelor.",7.1,43815,14640000,30229977,155,15589977
Ad Astra,2019-09-26,"Adventure, Drama, Mystery",123,"China, USA",English,James Gray,"James Gray, Ethan Gross","Brad Pitt, Tommy Lee Jones, Ruth Negga, Donald Sutherland, Kimberly Elise, Loren Dean, Donnie Keshawarz, Sean Blakemore, Bobby Nish, LisaGay Hamilton, John Finn, John Ortiz, Freda Foh Shen, Kayla Adams, Ravi Kapoor","Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.",6.6,185308,90000000,127461872,3048,37461872
Everybody Wants Some!!,2016-06-16,Comedy,117,USA,English,Richard Linklater,Richard Linklater,"Blake Jenner, Juston Street, Ryan Guzman, Tyler Hoechlin, Wyatt Russell, Glen Powell, Temple Baker, J. Quinton Johnson, Will Brittain, Courtney Tailor, Taylor Murphy, Christina Burdette, Zoey Deutch, Sophia Ali, Austin Amelio","In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.",6.9,50953,10000000,4644472,162,-5355528
A Most Violent Year,2016-02-04,"Action, Crime, Drama",125,"USA, United Arab Emirates",English,J.C. Chandor,J.C. Chandor,"Oscar Isaac, Elyes Gabel, Jessica Chastain, Lorna Pruce, Christopher Abbott, Matthew Maher, Albert Brooks, Jerry Adler, Quinn Meyers, Chester Jones III, David Oyelowo, Ashley Williams, Glenn Fleshler, Jimmy Palumbo, Daisy Tahan","In New York City 1981, an ambitious immigrant fights to protect his business and family during the most dangerous year in the city's history.",7,65243,20000000,12007070,220,-7992930
The Transporter Refueled,2015-09-24,"Action, Adventure, Thriller",96,"France, China, Belgium, Monaco",English,Camille Delamarre,"Adam Cooper, Bill Collage","Ed Skrein, Ray Stevenson, Loan Chabanol, Gabriella Wright, Tatiana Pajkovic, Wenxia Yu, Radivoje Bukvic, Noémie Lenoir, Yuri Kolokolnikov, Lenn Kudrjawizki, Samir Guesmi, Anatole Taubman, Robbie Nock, Michael Morris, Nash Novcic","In the south of France, former special-ops mercenary Frank Martin enters into a game of chess with a femme-fatale and her three sidekicks who are looking for revenge against a sinister Russian kingpin.",5.2,38389,25000000,72629670,145,47629670
Zootopia,2016-02-18,"Animation, Adventure, Comedy",108,USA,English,"Byron Howard, Rich Moore","Byron Howard, Rich Moore","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Don Lake, Tommy Chong, J.K. Simmons, Octavia Spencer, Alan Tudyk, Shakira, Raymond S. Persi, Della Saba, Maurice LaMarche","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",8,421174,150000000,1023789075,714,873789075
Ocho apellidos vascos,2014-03-14,"Comedy, Romance",98,Spain,Spanish,Emilio Martínez Lázaro,"Borja Cobeaga, Diego San José","Clara Lago, Dani Rovira, Carmen Machi, Karra Elejalde, Alberto López, Alfonso Sánchez, Aitor Mazo, Abel Mora, Aitziber Garmendia, Miriam Cabeza, Iñaki Beraetxe, Egoitz Lasa, Lander Otaola, Mikel Roman, Santi Ugalde","Rafael, a Sevillian who has never left Andalucia, decides to leave his homeland to follow Amaia, a Basque girl unlike other women whom he has ever known.",6.5,15952,3180000,78768613,10,75588613
Extraterrestrial,2014-10-17,"Action, Horror, Mystery",101,Canada,English,Colin Minihan,"Colin Minihan, Stuart Ortiz","Brittany Allen, Freddie Stroma, Melanie Papalia, Jesse Moss, Anja Savcic, Gil Bellows, Michael Ironside, Sean Rogerson, Emily Perkins, Mike Kovac, Ian Brown, Fred Keating, Reese Alexander, Buddy",A group of friends on a weekend trip to a cabin in the woods find themselves terrorized by alien visitors.,5,14530,3000000,71103,153,-2928897
Hot Pursuit,2015-06-18,"Action, Comedy, Crime",87,USA,English,Anne Fletcher,"David Feeney, John Quaintance","Reese Witherspoon, Sofía Vergara, Matthew Del Negro, Michael Mosley, Robert Kazinsky, Richard T. Jones, Benny Nieves, Michael Ray Escamilla, Joaquín Cosio, John Carroll Lynch, Jim Gaffigan, Mike Birbiglia, Vincent Laresca, David Jensen, Evaluna Montaner",An uptight and by-the-book cop tries to protect the outgoing widow of a drug boss as they race through Texas pursued by crooked cops and murderous gunmen.,5.1,47616,35000000,51380201,156,16380201
Alvin and the Chipmunks: The Road Chip,2015-12-23,"Animation, Adventure, Comedy",92,USA,English,Walt Becker,"Ross Bagdasarian, Janice Karman","Jason Lee, Justin Long, Matthew Gray Gubler, Jesse McCartney, Kimberly Williams-Paisley, Josh Green, Tony Hale, Bella Thorne, Eddie Steeples, Christina Applegate, Kaley Cuoco, Anna Faris, José D. Xuconoxtli Jr., Keith Arthur Bolden, Joshua Mikel",The Chipmunks believe that Dave plans to propose to his new girlfriend in Miami.--and dump them. They have three days to get to him and save themselves not only from losing Dave but also from gaining a terrible stepbrother.,5,16287,90000000,234798636,70,144798636
The Purge: Anarchy,2014-07-23,"Action, Adventure, Horror",103,"USA, France",English,James DeMonaco,"James DeMonaco, James DeMonaco","Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez, Zoë Soul, Justina Machado, John Beasley, Jack Conley, Noel Gugliemi, Castulo Guerra, Michael Kenneth Williams, Edwin Hodge, LaKeith Stanfield, Roberta Valderrama, Niko Nicotera","Three groups of people intertwine and are left stranded in the streets on Purge Night, trying to survive the chaos and violence that occurs.",6.4,134473,9000000,111928365,299,102928365
Batman v Superman: Dawn of Justice,2016-03-23,"Action, Adventure, Sci-Fi",152,USA,English,Zack Snyder,"Chris Terrio, David S. Goyer","Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg, Diane Lane, Laurence Fishburne, Jeremy Irons, Holly Hunter, Gal Gadot, Scoot McNairy, Callan Mulvey, Tao Okamoto, Brandon Spink, Lauren Cohan, Alan D. Purwin","Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",6.4,612550,250000000,873637528,3766,623637528
A Hologram for the King,2017-06-15,"Comedy, Drama, Romance",98,"UK, France, Germany, Mexico, USA",English,Tom Tykwer,"Dave Eggers, Tom Tykwer","Tom Hanks, Omar Elba, Sarita Choudhury, Sidse Babett Knudsen, Tracey Fairaway, Jane Perry, Tom Skerritt, Michael Baral, Lewis Rainer, Alexander Molkenthin, Xara Eich, David Menkin, Christy Meyer, Megan Maczko, Ben Whishaw",A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch.,6.1,39501,30000000,9169507,167,-20830493
The Theory of Everything,2015-01-15,"Biography, Drama, Romance",123,"UK, Japan, USA",English,James Marsh,"Anthony McCarten, Jane Hawking","Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry, Finlay Wright-Stephens, Harry Lloyd, Alice Orr-Ewing, David Thewlis, Thomas Morrison, Michael Marcus, Gruffudd Glyn, Paul Longley, Emily Watson, Guy Oliver-Watts, Simon McBurney",A look at the relationship between the famous physicist,7.7,390356,15000000,123726688,508,108726688
The Guest,2014-09-05,"Action, Crime, Drama",100,"USA, UK",English,Adam Wingard,Simon Barrett,"Dan Stevens, Maika Monroe, Brendan Meyer, Sheila Kelley, Leland Orser, Lance Reddick, Tabatha Shaun, Chase Williamson, Joel David Moore, Steven John Brown, Brenden Wedner, Alex Knight, Ethan Embry, Nancy Jeris, Matthew Page","A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence.",6.7,88843,5000000,2700051,369,-2299949
The Hundred-Foot Journey,2014-10-09,"Comedy, Drama",122,"USA, India, United Arab Emirates",English,Lasse Hallström,"Steven Knight, Richard C. Morais","Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon, Amit Shah, Farzana Dua Elahe, Dillon Mitra, Aria Pandya, Michel Blanc, Clément Sibony, Vincent Elbaz, Juhi Chawla, Alban Aumard, Shuna Lemoine, Antoine Blanquefort",The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.,7.3,75009,22000000,89514453,233,67514453
Planes: Fire & Rescue,2014-08-28,"Animation, Adventure, Comedy",83,USA,English,Roberts Gannaway,"Roberts Gannaway, Jeffrey M. Howard","Dane Cook, Ed Harris, Julie Bowen, Curtis Armstrong, John Michael Higgins, Hal Holbrook, Wes Studi, Brad Garrett, Teri Hatcher, Stacy Keach, Cedric the Entertainer, Danny Mann, Barry Corbin, Regina King, Anne Meara","When Dusty learns that his engine is damaged and he may never race again, he joins a forest fire and rescue unit to be trained as a firefighter, or else his air strip will be shut down.",6,16263,50000000,146965787,56,96965787
Fack ju Göhte,2015-10-15,Comedy,119,Germany,German,Bora Dagtekin,"Bora Dagtekin, Simon Hauschild","Elyas M'Barek, Karoline Herfurth, Katja Riemann, Jana Pallaske, Alwara Höfels, Jella Haase, Max von der Groeben, Lena Klenke, Gizem Emre, Aram Arami, Runa Greiner, Valentina Pahde, Robin Reichelt, Nicolas Brauner, Janina Altinger",A comedy that follows an ex-con who lands a position at a school that sits over the spot where money from one of his earlier robberies was stashed.,6.9,26075,5300000,77676735,19,72376735
Mandariinid,2016-05-26,"Drama, War",87,"Estonia, Georgia",Estonian,Zaza Urushadze,"Tatjana Mülbeier, Zaza Urushadze","Lembit Ulfsak, Giorgi Nakashidze, Misha Meskhi, Elmo Nüganen, Raivo Trass, Zura Begalishvili, Dato Khakhidze, Jano Izoria, Gia Gogishvili, Vamekh Jangidze, Aleko Begalishvili, Temo Khutsishvili, Giorgi Tsaava, Denis Khlibov, Victor Gegeshidze","In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",8.2,37393,689000,1024132,82,335132
Camp X-Ray,2014-10-17,"Drama, War",117,USA,English,Peter Sattler,Peter Sattler,"Nawal Bengholam, Payman Maadi, Lane Garrison, Joseph Julian Soria, Marwan Naji, Anoop Simon, Kristen Stewart, Cory Michael Smith, Ser'Darius Blain, Tara Holt, LaDell Preston, Daniel Leavitt, Marco Khan, Julia Duffy, Robert Tarpinian",A soldier assigned to Guantanamo Bay befriends a man who has been imprisoned there.,6.9,38766,1000000,79624,90,-920376
The Water Diviner,2015-01-08,"Drama, History, War",111,"Australia, USA",English,Russell Crowe,"Andrew Knight, Andrew Anastasios","Russell Crowe, Olga Kurylenko, Yilmaz Erdogan, Cem Yilmaz, Jai Courtney, Dylan Jett, Steve Bastoni, Isabel Lucas, Salih Kalyon, Megan Gale, Ryan Corr, James Fraser, Ben O'Toole, Jacqueline McKenzie, Jack Patterson",An Australian man travels to Turkey after the Battle of Gallipoli to try and locate his three missing sons.,7,70359,22500000,38176317,228,15676317
Relatos salvajes,2014-12-11,"Comedy, Drama, Thriller",122,"Argentina, Spain, France, UK",Spanish,Damián Szifron,"Germán Servidio, Damián Szifron","Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta, Marcelo Frasca, Lucila Mangone, María Laura Caccamo, Carlos Alberto Vavassori, Pablo Machado, Horacio Vay, Javier Pedersoli, Héctor Drachtman, María Rosa López Ottonello, Rita Cortese, Julieta Zylberberg",Six short stories that explore the extremities of human behavior involving people in distress.,8.1,170475,3300000,30642704,233,27342704
The Lego Ninjago Movie,2017-10-12,"Animation, Action, Adventure",101,"USA, Denmark, Australia",English,"Charlie Bean, Paul Fisher","Bob Logan, Paul Fisher","Jackie Chan, Dave Franco, Fred Armisen, Kumail Nanjiani, Michael Peña, Abbi Jacobson, Zach Woods, David Burrows, Alex Kauffman, Justin Theroux, Ali Wong, Garret Elkins, Todd Hansen, Doug Nicholas, Charlyne Yi","Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.",6,21770,70000000,123081555,120,53081555
Moms' Night Out,2014-05-09,Comedy,98,USA,English,"Andrew Erwin, Jon Erwin","Jon Erwin, Andrea Gyertson Nasfell","Sarah Drew, Sean Astin, Patricia Heaton, Trace Adkins, David Hunt, Andrea Logan, Harry Shum Jr., Abbie Cobb, Robert Amaya, Kevin Downes, Alex Kendrick, Sammi Hanratty, Michael Leone, Shiloh Nelson, Brett Rice","Hardworking mom Allyson has a crazy night out with her friends, while their husbands watch their children.",5.4,13044,5000000,10536956,159,5536956
Criminal,2016-04-14,"Action, Sci-Fi, Thriller",113,"USA, UK, Bulgaria",English,Ariel Vromen,"Douglas Cook, David Weisberg","Kevin Costner, Gary Oldman, Tommy Lee Jones, Ryan Reynolds, Jordi Mollà, Gal Gadot, Michael Pitt, Amaury Nolasco, Alice Eve, Antje Traue, Scott Adkins, Lara Decaro, Freddy Bosche, Emmanuel Imani, Harry Hepple","In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.",6.3,57738,31500000,38803993,218,7303993
The Jungle Book,2016-04-14,"Adventure, Drama, Family",106,"UK, USA",English,Jon Favreau,"Justin Marks, Rudyard Kipling","Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba, Lupita Nyong'o, Scarlett Johansson, Giancarlo Esposito, Christopher Walken, Garry Shandling, Brighton Rose, Emjay Anthony, Max Favreau, Chloe Hechter, Asher Blinkoff, Knox Gagnon","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",7.4,254949,175000000,966552003,595,791552003
Mortdecai,2015-02-19,"Action, Adventure, Comedy",107,"UK, USA",English,David Koepp,"Eric Aronson, Kyril Bonfiglioli","Johnny Depp, Gwyneth Paltrow, Paul Bettany, Ewan McGregor, Olivia Munn, Jonny Pasvolsky, Michael Culkin, Ulrich Thomsen, Alec Utgoff, Rob de Groot, Guy Burnet, Jeff Goldblum, Paul Whitehouse, Norma Atallah, Nicholas Farrell","Juggling angry Russians, the British Mi5, and an international terrorist, debonair art dealer and part-time rogue Charlie Mortdecai races to recover a stolen painting rumored to contain a code that leads to lost gold.",5.5,65711,60000000,47275695,256,-12724305
Inferno,2016-10-13,"Action, Adventure, Crime",121,"USA, Hungary",English,Ron Howard,"Dan Brown, David Koepp","Tom Hanks, Felicity Jones, Omar Sy, Irrfan Khan, Sidse Babett Knudsen, Ben Foster, Ana Ularu, Ida Darvish, Paolo Antonio Simioni, Alessandro Grimaldi, Fausto Maria Sciarappa, Robin Mugnaini, Paul Ritter, Vincenzo Tanassi, Alessandro Fabrizi","When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.",6.2,153986,75000000,220021259,400,145021259
Bad Grandpa,2013-10-25,Comedy,92,USA,English,Jeff Tremaine,"Johnny Knoxville, Spike Jonze","Johnny Knoxville, Jackson Nicoll, Gregorio, Georgina Cates, Kamber Hejlik, Jill Killington, Madison Davis, George Faughnan, Grasie Mercedes, Marilynn Allain, Jack Polick, Spike Jonze, Catherine Keener, Marlon Davis, Quintin Duncan","86-year-old Irving Zisman takes a trip from Nebraska to North Carolina to take his 8 year-old grandson, Billy, back to his real father.",6.5,88339,15000000,151826547,178,136826547
The Conjuring 2,2016-06-23,"Horror, Mystery, Thriller",134,"Canada, USA, UK",English,James Wan,"Chad Hayes, Carey W. Hayes","Patrick Wilson, Vera Farmiga, Madison Wolfe, Frances O'Connor, Lauren Esposito, Benjamin Haigh, Patrick McAuley, Simon McBurney, Maria Doyle Kennedy, Simon Delaney, Franka Potente, Bob Adrian, Robin Atkin Downes, Bonnie Aarons, Javier Botet",Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.,7.3,218066,40000000,320392818,553,280392818
Love & Friendship,2016-12-01,"Comedy, Drama, Romance",90,"Ireland, France, Netherlands",English,Whit Stillman,"Whit Stillman, Jane Austen","Kate Beckinsale, Morfydd Clark, Tom Bennett, Jenn Murray, Lochlann O'Mearáin, Sophie Radermacher, Chloë Sevigny, Stephen Fry, Jordan Waller, Ross Mac Mahon, Frank Prendergast, Xavier Samuel, Emma Greenwell, Justin Edwards, Kelly Campbell","Lady Susan Vernon takes up temporary residence at her in-laws' estate and, while there, is determined to be a matchmaker for her daughter Frederica -- and herself too, naturally.",6.4,22650,3000000,21401949,116,18401949
Hardcore Henry,2016-04-13,"Action, Adventure, Sci-Fi",96,"Russia, USA, China",English,Ilya Naishuller,"Ilya Naishuller, Will Stewart","Sharlto Copley, Danila Kozlovsky, Haley Bennett, Tim Roth, Andrei Dementiev, Svetlana Ustinova, Darya Charusha, Oleg Poddubnyy, Jack Hahn, Cyrus Arnold, Jake Karlen, Will Stewart, Ilya Naishuller, Martin Cooke, Sergey Chekrygin","Henry is resurrected from death with no memory, and he must save his wife from a telekinetic warlord with a plan to bio-engineer soldiers.",6.7,84692,2000000,16810562,400,14810562
Creed,2016-01-14,"Drama, Sport",133,USA,English,Ryan Coogler,"Ryan Coogler, Aaron Covington","Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad, Andre Ward, Tony Bellew, Ritchie Coster, Jacob 'Stitch' Duran, Graham McTavish, Malik Bazille, Ricardo 'Padman' McGill, Gabe Rosado, Wood Harris, Buddy Osborn, Rupal Pujara","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",7.6,241768,35000000,173567581,518,138567581
Suffragette,2016-03-03,"Drama, History",106,"UK, France",English,Sarah Gavron,Abi Morgan,"Anne-Marie Duff, Grace Stottor, Geoff Bell, Carey Mulligan, Amanda Lawrence, Shelley Longworth, Adam Michael Dodd, Ben Whishaw, Sarah Finigan, Drew Edwards, Lorraine Stanley, Romola Garai, Adam Nagaitis, Helena Bonham Carter, Finbar Lynch","In 1912 London, a young working mother is galvanized into radical political activism supporting the right for women to vote, and is willing to meet violence with violence to achieve this end.",6.9,37288,14000000,31972096,135,17972096
Spy,2015-07-15,"Action, Comedy, Crime",120,"USA, UK, France, Hungary, Germany",English,Paul Feig,Paul Feig,"Jude Law, Raad Rawi, Melissa McCarthy, Jessica Chaffin, Miranda Hart, Sam Richardson, Katie Dippold, Jaime Pacheco, Romain Apelbaum, Allison Janney, Rose Byrne, Richard Brake, Steve Bannos, Morena Baccarin, Jason Statham","A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",7,225974,65000000,235666219,498,170666219
Kickboxer: Vengeance,2016-09-01,"Action, Crime, Drama",90,USA,English,John Stockwell,"Dimitri Logothetis, Jim McGrath","Alain Moussi, Georges St-Pierre, T.J. Storm, Matthew Ziff, Sam Medina, Dave Bautista, Sue-Lynn, Darren Shahlavi, Gina Carano, Hawn Tran, Sara Malakul Lane, Tanapol Chuksrida, Daneya Mayid, Joshua Tran, Jean-Claude Van Damme",A kick boxer is out to avenge his brother.,4.9,10178,10000000,287779,91,-9712221
Monster Trucks,2017-05-04,"Action, Adventure, Comedy",104,Canada,English,Chris Wedge,"Derek Connolly, Matthew Robinson","Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper, Rob Lowe, Danny Glover, Amy Ryan, Holt McCallany, Frank Whaley, Aliyah O'Brien, Daniel Bacon, Faustino Di Bauda, Jedidiah Goodacre, Samara Weaving, Ruairi MacDonald",A young man working at a small town junkyard discovers and befriends a creature which feeds on oil being sought by a fracking company.,5.6,14985,125000000,64493915,90,-60506085
Tusk,2014-09-19,"Comedy, Drama, Horror",102,"Canada, USA",English,Kevin Smith,Kevin Smith,"Michael Parks, Justin Long, Genesis Rodriguez, Haley Joel Osment, Johnny Depp, Harley Morenstein, Ralph Garman, Jennifer Schwalbach Smith, Harley Quinn Smith, Lily-Rose Depp, Ashley Greene, Douglas Banks, Matthew Shively",A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.,5.3,45366,3000000,1882074,422,-1117926
Crazy Rich Asians,2018-08-15,"Comedy, Drama, Romance",120,USA,English,Jon M. Chu,"Peter Chiarelli, Adele Lim","Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan, Lisa Lu, Awkwafina, Harry Shum Jr., Ken Jeong, Sonoya Mizuno, Chris Pang, Jimmy O. Yang, Ronny Chieng, Remy Hii, Nico Santos, Jing Lusi","This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",6.9,133010,30000000,238538736,1135,208538736
Now You See Me 2,2016-06-10,"Action, Adventure, Comedy",129,"France, USA",English,Jon M. Chu,"Ed Solomon, Ed Solomon","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco, Daniel Radcliffe, Lizzy Caplan, Jay Chou, Sanaa Lathan, Michael Caine, Morgan Freeman, David Warshofsky, Tsai Chin, William Henderson, Richard Laing, Henry Lloyd-Hughes","The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",6.5,240792,90000000,334897606,345,244897606
Beyond the Lights,2014-11-14,"Drama, Music, Romance",116,USA,English,Gina Prince-Bythewood,Gina Prince-Bythewood,"Gugu Mbatha-Raw, Nate Parker, Minnie Driver, Machine Gun Kelly, Danny Glover, Darryl Stephens, Elaine Tan, Isaac Keys, Tyler Christopher, Benito Martinez, Aisha Hinds, India Jean-Jacques, Deidrie Henry, Estelle, Malieek Straughter","The pressures of fame have superstar singer Noni on the edge, until she meets Kaz, a young cop who works to help her find the courage to develop her own voice and break free to become the artist she was meant to be.",6.9,15091,7000000,14618727,50,7618727
The Bookshop,2018-09-27,Drama,113,"UK, Spain, Germany, France",English,Isabel Coixet,"Isabel Coixet, Penelope Fitzgerald","Emily Mortimer, Bill Nighy, Hunter Tremayne, Honor Kneafsey, Michael Fitzgerald, Frances Barber, Reg Wilson, James Lance, Patricia Clarkson, Lucy Beckwith, Nigel O'Neill, Jorge Suquet, Harvey Bennett, Lana O'Kell, Adie Allen","England 1959. In a small East Anglian town, Florence Green decides, against polite but ruthless local opposition, to open a bookshop.",6.5,11710,5400000,12055868,144,6655868
Mucize,2015-01-01,"Comedy, Drama, Romance",136,Turkey,Turkish,Mahsun Kirmizigül,Mahsun Kirmizigül,"Büsra Pekin, Senay Gürler, Mahsun Kirmizigül, Talat Bulut, Ali Sürmeli, Meral Çetinkaya, Mert Turak, Cezmi Baskin, Dogukan Polat, Seda Tosun, Yildiz Kültür, Tansel Öngel, Erol Demiröz, Nisa Melis Telli, Cihat Tamer",1960s Turkey countryside. A newly assigned teacher finds out that the solitary village is missing a school. He gets fond of the village people and especially a disabled man. The teacher ...,7.7,10057,5000000,15584520,33,10584520
Trainwreck,2015-09-17,"Comedy, Drama, Romance",125,"USA, Japan",English,Judd Apatow,Amy Schumer,"Colin Quinn, Devin Fabry, Carla Oudin, Amy Schumer, Josh Segarra, Ryan Farrell, Robert E. Torres, Jim Florentine, Robert Kelly, Dan Soder, John Cena, Dave Attell, Vanessa Bayer, Tilda Swinton, Randall Park","Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",6.2,127731,35000000,140795793,407,105795793
Rock the Kasbah,2015-10-23,"Comedy, Music, War",106,USA,English,Barry Levinson,Mitch Glazer,"Bill Murray, Bruce Willis, Kate Hudson, Zooey Deschanel, Leem Lubany, Arian Moayed, Scott Caan, Danny McBride, Fahim Fazli, Beejan Land, Sameer Ali Khan, Jonas Khan, Husam Chadat, Taylor Kinney, Megan Raich","A down-on-his-luck music manager discovers a teenage girl with an extraordinary voice while on a music tour in Afghanistan and takes her to Kabul to compete on the popular television show, Afghan Star.",5.5,10609,15000000,3394174,61,-11605826
Mr. Holmes,2015-11-19,"Drama, Mystery",104,"UK, USA",English,Bill Condon,"Mitch Cullin, Jeffrey Hatcher","Ian McKellen, Laura Linney, Milo Parker, Hiroyuki Sanada, Hattie Morahan, Patrick Kennedy, Roger Allam, Phil Davis, Frances de la Tour, Charles Maddox, Takako Akashi, Zak Shukor, John Sessions, Michael Culkin, David Foxxe","An aged, retired Sherlock Holmes deals with early dementia, as he tries to remember his final case, and a mysterious woman, whose memory haunts him. He also befriends a fan, the young son of his housekeeper, who wants him to work again.",6.9,60565,11000000,29355203,211,18355203
Room,2016-03-03,"Drama, Thriller",118,"Canada, Ireland, UK, USA",English,Lenny Abrahamson,"Emma Donoghue, Emma Donoghue","Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson, Sandy McMaster, Matt Gordon, Amanda Brugel, Joe Pingue, Joan Allen, Zarrin Darnell-Martin, Cas Anvar, William H. Macy, Jee-Yun Lee, Randal Edwards, Justin Mader","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",8.1,357159,13000000,35401758,677,22401758
