"original_title","date_published","genre","duration","country","language_1","director","writer","actors","description","avg_vote","votes","budget","worlwide_gross_income","reviews_from_users","profit","profit_norm","votes_norm","reviews_norm","avg_vote_norm","age","success","success_norm"
"RocknRolla",2009-04-24,"Action, Crime, Thriller",114,"UK, USA, France","English","Guy Ritchie","Guy Ritchie","Gerard Butler, Tom Wilkinson, Thandie Newton, Mark Strong, Idris Elba, Tom Hardy, Karel Roden, Toby Kebbell, Jeremy Piven, Ludacris, Jimi Mistry, Matt King, Geoff Bell, Dragan Micanovic, Michael Ryan","When a Russian mobster orchestrates a crooked land deal, millions of dollars are up for grabs, drawing in the entire London underworld into a feeding frenzy at a time when the old criminal regime is losing turf to a wealthy foreign mob.",7.3,231863,1.8e+07,25740863,235,7740863,0.00301026020803718,0.0804937214220158,0.000683326825458805,0.291666666666667,11,0.36780940277333,0.127470298940926
"The Descendants",2012-02-17,"Comedy, Drama",115,"USA","English","Alexander Payne","Alexander Payne, Nat Faxon","George Clooney, Shailene Woodley, Amara Miller, Nick Krause, Patricia Hastie, Grace A. Cruz, Kim Gennaula, Karen Kuioka Hironaga, Carmen Kaichi, Kaui Hart Hemmings, Beau Bridges, Matt Corboy, Matt Esecson, Michael Ontkean, Stanton Johnston","A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.",7.3,230101,2e+07,177243185,492,157243185,0.0615609082821512,0.079687567198582,0.0257711831315892,0.291666666666667,8,0.450874565995273,0.156574976389728
"Defiance",2009-01-23,"Action, Drama, History",137,"USA","English","Edward Zwick","Clayton Frohman, Edward Zwick","Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos, Allan Corduner, Mark Feuerstein, Tomas Arana, Jodhi May, Kate Fahy, Iddo Goldberg, Iben Hjejle, Martin Hancock, Ravil Isyanov, Jacek Koman, George MacKay","Jewish brothers in Nazi-occupied Eastern Europe escape into the Belarussian forests, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants.",7.2,136013,3.2e+07,51262751,266,19262751,0.00752265841304538,0.0366402127295504,0.00370948848106209,0.25,11,0.293873740584768,0.101564449647498
"The Book of Eli",2010-02-26,"Action, Adventure, Drama",118,"USA","English","Albert Hughes, Allen Hughes","Gary Whitta","Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Jennifer Beals, Evan Jones, Joe Pingue, Frances de la Tour, Michael Gambon, Tom Waits, Chris Browning, Richard Cetrone, Lateef Crowder, Keith Splinter Davis, Don Thai Theerathada","A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",6.9,288327,8e+07,157107755,656,77107755,0.030176905027688,0.106327258352755,0.0417805544709098,0.125,10,0.28982037123102,0.100144215182823
"[Rec]",2008-02-28,"Action, Adventure, Fantasy",78,"Spain","Spanish","Jaume Balagueró, Paco Plaza","Jaume Balagueró, Luiso Berdejo","Manuela Velasco, Ferran Terraza, Jorge-Yamam Serrano, Pablo Rosso, David Vert, Vicente Gil, Martha Carbonell, Carlos Vicente, María Teresa Ortega, Manuel Bronchud, Akemi Goto, Chen Min Kao, Maria Lanau, Claudia Silva, Carlos Lasarte","A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.",7.4,162297,1590000,32511655,444,30921655,0.0120887171598378,0.0486657278309876,0.0210855134713003,0.333333333333334,12,0.407699944513071,0.141447293694925
"The Proposal",2009-09-03,"Comedy, Drama, Romance",108,"USA","English","Anne Fletcher","Peter Chiarelli","Sandra Bullock, Ryan Reynolds, Mary Steenburgen, Craig T. Nelson, Betty White, Denis O'Hare, Malin Akerman, Oscar Nuñez, Aasif Mandvi, Michael Nouri, Michael Mosley, Dale Place, Alicia Hunt, Alexis Garcia, Kortney Adams","A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.",6.7,289455,4e+07,317375031,330,277375031,0.108608989833952,0.106843343462876,0.00995704802811402,0.0416666666666669,11,0.25550123442043,0.0881193497825744
"Silver Linings Playbook",2013-03-07,"Comedy, Drama, Romance",122,"USA","English","David O. Russell","David O. Russell, Matthew Quick","Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver, Chris Tucker, Anupam Kher, John Ortiz, Shea Whigham, Julia Stiles, Paul Herman, Dash Mihok, Matthew Russell, Cheryl Williams, Patrick McDade, Brea Bee","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",7.7,651122,2.1e+07,236412453,850,215412453,0.0843421486925631,0.272314046939954,0.060718469347911,0.458333333333333,7,0.853920824351004,0.297795807016968
"Up",2009-10-15,"Animation, Adventure, Comedy",96,"USA","English","Pete Docter, Bob Peterson","Pete Docter, Bob Peterson","Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft, John Ratzenberger, David Kaye, Elie Docter, Jeremy Leary, Mickie McGowan, Danny Mann, Donald Fullilove, Jess Harnell, Josh Cooley","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",8.2,911402,1.75e+08,735099082,905,560099082,0.219334202598132,0.391397940966818,0.0660874658336587,0.666666666666666,11,1.29814988440036,0.453446419194488
"The Invisible Man",2020-03-27,"Horror, Mystery, Sci-Fi",124,"Canada, Australia, USA","English","Leigh Whannell","Leigh Whannell, Leigh Whannell","Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge, Storm Reid, Michael Dorman, Benedict Hardie, Renee Lim, Brian Meegan, Nick Kici, Vivienne Greer, Nicholas Hope, Cleave Williams, Cardwell Lynch, Sam Smith","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",7.1,129805,7e+06,130620744,1458,123620744,0.0483931147385588,0.0337999145348417,0.120070285044904,0.208333333333333,0,0.410596647651638,0.142462251196274
"The Imaginarium of Doctor Parnassus",2009-10-23,"Adventure, Comedy, Fantasy",123,"UK, France, Canada","English","Terry Gilliam","Terry Gilliam, Charles McKeown","Andrew Garfield, Christopher Plummer, Richard Riddell, Katie Lyons, Richard Shanks, Lily Cole, Verne Troyer, Bruce Crawford, Johnny Harris, Lorraine Cheshire, Mark Benton, Lewis Gott, Sian Scott, Simon Day, Moya Brady","A traveling theater company gives its audience much more than they were expecting.",6.8,142863,3e+07,61808775,244,31808775,0.0124361462179598,0.0397742402156577,0.00156188988676298,0.0833333333333334,11,0.133009236400321,0.0452001529237305
